id,vote_event_id,option,value
f5f49eba-6fa6-4d83-b3c2-91208c779e18,ocd-vote/09ce8bab-df77-40c5-a566-e83a875f66f8,no,1
bc79e4be-6292-48a9-a9ea-69bd14dd1cf4,ocd-vote/09ce8bab-df77-40c5-a566-e83a875f66f8,yes,159
b2667cf7-0834-4686-84bc-cb330b50750d,ocd-vote/dfdbaf76-5a74-40fc-b134-0897dded29b4,no,0
f4d4250c-1e4f-4458-b63d-d4dfc01bbf36,ocd-vote/dfdbaf76-5a74-40fc-b134-0897dded29b4,yes,155
1d60fb83-b7e6-4289-b9fa-660ca8c18070,ocd-vote/a5474cff-ea5f-44f4-97f5-ed3ae7ae810a,no,1
0d752945-7806-49e1-afd7-fa9334d3b32a,ocd-vote/a5474cff-ea5f-44f4-97f5-ed3ae7ae810a,yes,148
0f94d8ba-e779-4158-876c-4373b49a7945,ocd-vote/96bb1fb4-107b-4c13-9492-98da9ddb901f,no,128
eba0a138-2434-4f36-8e9d-d25561124534,ocd-vote/96bb1fb4-107b-4c13-9492-98da9ddb901f,yes,23
03645457-c2e1-40d7-b8ff-6b10a83b9034,ocd-vote/1eb66213-6dc8-44c0-bb5a-4936eff1fe4d,no,0
c36b410e-c276-4b15-a8da-72aa5630ea23,ocd-vote/1eb66213-6dc8-44c0-bb5a-4936eff1fe4d,yes,155
937ed26a-b886-4935-8237-cfe4073a295b,ocd-vote/b973b4b1-6055-49e3-aa37-a614824b241a,no,4
0b00d3d2-07ee-4eb4-97f3-661a0aa7fe6b,ocd-vote/b973b4b1-6055-49e3-aa37-a614824b241a,yes,148
badec37c-8906-4cfb-aa94-12ded47d3972,ocd-vote/f122487b-e538-4c95-bfbc-26d60a9e8db4,no,24
e982ca7b-d0c5-4435-b9d2-09555abe8a05,ocd-vote/f122487b-e538-4c95-bfbc-26d60a9e8db4,yes,131
12f22cf9-5d1f-4735-9dca-c5d7835b9e41,ocd-vote/a296ed20-2c52-4887-9258-262513efea6e,no,128
5cee0482-942a-4dc1-90db-17cf23a05c41,ocd-vote/a296ed20-2c52-4887-9258-262513efea6e,yes,28
63348788-2972-4274-a9d9-6f6499acf525,ocd-vote/cb8ebb27-c998-45b5-9e3b-f7884643ae20,no,0
18d54675-3332-4e4c-a158-9ccd2e4d84b9,ocd-vote/cb8ebb27-c998-45b5-9e3b-f7884643ae20,yes,156
11303fbd-c0a2-459d-a515-f6e42b62c2d8,ocd-vote/4b59f65e-dcd0-408e-89ec-2a3b83b7a660,no,128
adab3b79-4296-414d-9082-3a02fa5e0051,ocd-vote/4b59f65e-dcd0-408e-89ec-2a3b83b7a660,yes,23
120bdf07-b408-4204-bff4-c9a5dd84243f,ocd-vote/0d0180be-92dc-4a8a-bcd1-dd5bcaf96485,no,14
b1f74aa9-86db-4601-8e5b-ee566360beb5,ocd-vote/0d0180be-92dc-4a8a-bcd1-dd5bcaf96485,yes,141
7358198b-85e4-4b0d-987f-30a21004a663,ocd-vote/ce167467-506c-448a-b2d8-5601409f5eef,no,0
7d877106-8413-44b6-af1a-8c0f738afd0b,ocd-vote/ce167467-506c-448a-b2d8-5601409f5eef,yes,155
d256001a-e8aa-4ab0-bcf9-dcce37b286a9,ocd-vote/9dae59b2-f709-4215-967d-d9809a104594,no,0
0bf52a81-7c49-4b24-afed-f640d3f89491,ocd-vote/9dae59b2-f709-4215-967d-d9809a104594,yes,153
4974caa6-84e6-417d-8d70-89ea9bcc6d99,ocd-vote/afde1684-2ec7-4737-a0e4-d2c62d788388,no,1
e51cb484-8b69-4438-b9fb-61c98d3dc507,ocd-vote/afde1684-2ec7-4737-a0e4-d2c62d788388,yes,149
e4f63976-c95c-40ef-b466-d780deb9df37,ocd-vote/085af8a3-93d8-4466-9e06-da2f1d62c921,no,1
7dc0fc75-8354-4fd1-9b99-403042b963b3,ocd-vote/085af8a3-93d8-4466-9e06-da2f1d62c921,yes,154
d80b4d6c-56f3-4318-915b-4d507524c489,ocd-vote/0ab01e45-a910-486d-abd0-069660418963,no,0
3b6d22ec-f3ad-4430-859d-4c996f16870f,ocd-vote/0ab01e45-a910-486d-abd0-069660418963,yes,154
eea26729-8c32-4ae5-945d-d79db8a66e64,ocd-vote/2742d4f3-fb1c-43ab-b280-3b390b6f4aab,no,127
396cca88-0212-405f-8973-d81965650dcf,ocd-vote/2742d4f3-fb1c-43ab-b280-3b390b6f4aab,yes,25
d8dcacc1-68ef-4703-9d4f-c76fa88eb399,ocd-vote/10446b16-ef59-45eb-a77e-e86523bd446f,no,26
3af33c72-7b6f-4b72-ab12-9dba24a7f757,ocd-vote/10446b16-ef59-45eb-a77e-e86523bd446f,yes,126
