id,identifier,motion_text,motion_classification,start_date,result,organization_id,bill_id,bill_action_id,jurisdiction,session_identifier
ocd-vote/8d6c52ca-dd88-4986-a228-2558ac2f58c8,,"H. 4150 On adoption of amendment #27, chg",['passage'],2025-05-21T21:48:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/7b284033-8562-445e-8a8e-3c694a35b7d1,,Massachusetts,194th
ocd-vote/5af8e464-7093-479a-8dd5-5e7bc9f6d9ed,,H. 4150 On Adoption of Consolidated Amendment A,['passage'],2025-05-21T22:05:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/7b284033-8562-445e-8a8e-3c694a35b7d1,,Massachusetts,194th
ocd-vote/afde1684-2ec7-4737-a0e4-d2c62d788388,,H. 4150 On passing to be engrossed,['passage'],2025-05-21T22:09:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/7b284033-8562-445e-8a8e-3c694a35b7d1,,Massachusetts,194th
ocd-vote/8116b1b7-7f5b-40c6-ba71-b49104d78d92,,Passing the bill to be engrossed,['passage'],2025-05-29,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/1a02ffcd-3157-4791-a391-625e0d18220a,,Massachusetts,194th
ocd-vote/6482952a-0d33-43b0-942d-535f5c39f4c8,,H. 4187 On adoption of amendment #29,['passage'],2025-06-04T19:00:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/58c4f288-1e3b-44e9-aa3b-dfb1eb510a10,,Massachusetts,194th
ocd-vote/0ab01e45-a910-486d-abd0-069660418963,,"H. 4187 On adoption of amendment #36, chg",['passage'],2025-06-04T19:34:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/58c4f288-1e3b-44e9-aa3b-dfb1eb510a10,,Massachusetts,194th
ocd-vote/9dae59b2-f709-4215-967d-d9809a104594,,H. 4187 On passing to be engrossed,['passage'],2025-06-04T19:59:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/58c4f288-1e3b-44e9-aa3b-dfb1eb510a10,,Massachusetts,194th
ocd-vote/3d7bc82e-c514-4640-b984-25d21c6108e5,,Adoption of the amendment,['amendment'],2025-06-18,fail,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/045bfd64-fa68-4d04-a67d-e64dfb885c98,,Massachusetts,194th
ocd-vote/0a3fe912-9548-403e-9dad-82c6d5bb8648,,Passing the bill to be engrossed,['passage'],2025-06-18,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/5ba0ca5e-6a25-4992-9f4c-8596236744b5,,Massachusetts,194th
ocd-vote/3497dd6e-0b5f-430f-a05c-77b282e137db,,Passing it to be enacted,['passage'],2025-06-18,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/045bfd64-fa68-4d04-a67d-e64dfb885c98,,Massachusetts,194th
ocd-vote/e118e592-75a1-4f66-9161-9cb0ef05ce60,,H. 4227 - On acceptance of conference committee repor,['passage'],2025-06-18T17:31:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/5ba0ca5e-6a25-4992-9f4c-8596236744b5,,Massachusetts,194th
ocd-vote/b973b4b1-6055-49e3-aa37-a614824b241a,,H. 4227 On enactment,['passage'],2025-06-18T18:44:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/5ba0ca5e-6a25-4992-9f4c-8596236744b5,,Massachusetts,194th
ocd-vote/cb651d6a-bc19-436c-b6ce-3e648b8fe0e5,,Passing the bill to be engrossed,['passage'],2025-06-26,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/ba186355-cf41-4bed-9518-07bf16a20cbe,,Massachusetts,194th
ocd-vote/0b2e32b0-a275-4b2e-a748-0cbeaa5c7bc6,,Acceptance of the report of the committee of conference,[],2025-06-26,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/a53ed6d2-baed-467e-8641-1e7e44ad7248,,Massachusetts,194th
ocd-vote/02603e03-e13b-435a-80b6-df70505dc0cc,,Adoption of the amendment,['amendment'],2025-06-26,fail,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/0ce3c4ae-e5f4-40d4-9623-23cefbf2aa55,,Massachusetts,194th
ocd-vote/d5e20493-aba4-41fb-9f0c-80d65fb577ac,,S. 2545 On acceptance,['passage'],2025-06-26T18:47:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/a53ed6d2-baed-467e-8641-1e7e44ad7248,,Massachusetts,194th
ocd-vote/8eb742b8-8082-4b28-bd97-7c663dbbd989,,Acceptance of the report of the committee of conference,[],2025-06-30,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/5436491a-7a10-4dca-99e1-1fb4cf5e8661,,Massachusetts,194th
ocd-vote/35f74f08-84ac-493c-8dca-6a62a14c8370,,H. 4237 On passing to be engrossed,['passage'],2025-06-30T17:27:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/343bb1dc-3052-4a5c-9443-fbdfb9d8d8db,,Massachusetts,194th
ocd-vote/06f8888d-8218-4069-ac28-f70092b344e7,,H. 4237 On passing to be enacted,['passage'],2025-06-30T17:54:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/343bb1dc-3052-4a5c-9443-fbdfb9d8d8db,,Massachusetts,194th
ocd-vote/58b1e20f-c415-4a14-bf75-e2f08dedc0c7,,H. 4240 On acceptance,['passage'],2025-06-30T19:58:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/5436491a-7a10-4dca-99e1-1fb4cf5e8661,,Massachusetts,194th
ocd-vote/021fa817-2299-4e0e-b470-c6e2e4d3703e,,H. 4240 On passing to be enacted,['passage'],2025-06-30T21:05:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/5436491a-7a10-4dca-99e1-1fb4cf5e8661,,Massachusetts,194th
ocd-vote/c0ffbd96-5a9f-42d4-8e9e-700a68c145bf,,H. 4271 On adoption of amendment #8,['passage'],2025-07-16T19:09:00+00:00,fail,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/1d527972-4088-4496-ad73-baba0e59d3e3,,Massachusetts,194th
ocd-vote/39758615-fe50-4924-add5-e3eaedd79f6f,,"H. 4271 On adoption of amendment #6, changed",['passage'],2025-07-16T19:19:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/1d527972-4088-4496-ad73-baba0e59d3e3,,Massachusetts,194th
ocd-vote/3daf2470-756c-41eb-becc-7b495bce76cd,,S. 2543 On passing to be engrossed,['passage'],2025-07-16T19:25:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/f202dcef-fd72-43dc-b860-f9a52e947b0c,,Massachusetts,194th
ocd-vote/00a74cde-d20c-4238-8566-07f1dc1b1a3f,,Passing the bill to be engrossed,['passage'],2025-07-17,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/f87c5d42-caa9-4974-bfe8-63334ac50f53,,Massachusetts,194th
ocd-vote/ffbf381f-2faf-441a-b8b2-059e729f36dd,,Passing the bill to be engrossed,['passage'],2025-07-17,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/1d3c8c00-e140-47c4-9679-c8fc1db83369,,Massachusetts,194th
ocd-vote/897c11a6-4603-436c-b4b4-b16cfe98d703,,H. 4307 On passing to be engrossed,['passage'],2025-07-23T17:58:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/f3a968d4-6039-40c1-ba3d-896d6ac7bd22,,Massachusetts,194th
ocd-vote/0e3c0c46-62aa-42f8-b485-fdbec61fbd6a,,"Ordering the bill to a third reading, mr. moore moved that the proposed new draft be amended by inserting before section 1 the following section:“section a1. section 116i of chapter 6 of the general laws, as appearing in the 2022 official edition, is hereby amended by adding the following paragraph:not less than every 5 years, the municipal police training committee shall develop and establish within its specialized training curriculum available to all law enforcement officers instruction on the blue envelope program established in section 56a of chapter 6c.” after remarks, the question on adoption of the amendment",['amendment'],2025-07-24,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/5ad3d113-2324-44bd-806b-2a4f402e7cc9,,Massachusetts,194th
ocd-vote/39d1d061-485f-4f60-858a-5b4dca375090,,Passing the bill to be engrossed,['passage'],2025-07-24,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/81fbdb98-88fb-4ee0-a3b8-02455788f773,,Massachusetts,194th
ocd-vote/ff2136d6-b9f2-44cf-99b7-ec2c7c06e078,,Adoption of the amendment,['amendment'],2025-07-24,fail,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/5ad3d113-2324-44bd-806b-2a4f402e7cc9,,Massachusetts,194th
ocd-vote/47701ca1-b099-41df-97da-3bfd66853e50,,Passing the bill to be engrossed,['passage'],2025-07-24,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/f08bcad8-4519-4d66-93b6-b8aed31b0475,,Massachusetts,194th
ocd-vote/903af3c6-b289-4135-ac54-950aaad633d2,,H. 4361 On passing to be engrossed,['passage'],2025-07-30T18:01:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/cd0ffbce-e8b8-412e-b27d-e2ea94205857,,Massachusetts,194th
ocd-vote/dfc9a191-6bcf-4167-8532-5f53cf524bc6,,H. 4360 On passing to be engrossed,['passage'],2025-07-30T18:29:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/c92c757e-cfad-4bf8-92f2-44ef79826aef,,Massachusetts,194th
ocd-vote/93a3ebb7-a466-49e8-aea4-9c253d3979dc,,Passing the bill to be engrossed,['passage'],2025-07-31,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/02c1b339-0ee8-45a4-870f-72b71b2849b6,,Massachusetts,194th
ocd-vote/ebd84ab3-c9b9-47db-87bb-a30191034750,,Passing it to be enacted,['passage'],2025-07-31,pass,ocd-organization/1a75ab3a-669b-43fe-ac8d-31a2d6923d9a,ocd-bill/ee784a03-3270-49c3-b0e8-b154aa3b2e00,,Massachusetts,194th
ocd-vote/f8293174-a70b-4ef3-b391-20e90278cfca,,H. 4307 On passing to be enacted,['passage'],2025-07-31T17:45:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/f3a968d4-6039-40c1-ba3d-896d6ac7bd22,,Massachusetts,194th
ocd-vote/c3f0ec49-accd-432a-b5cb-83f415153e41,,S. 2543 On concurrence,['passage'],2025-07-31T18:30:00+00:00,pass,ocd-organization/ca38ad9c-c3d5-4c4f-bc2f-d885218ed802,ocd-bill/f202dcef-fd72-43dc-b860-f9a52e947b0c,,Massachusetts,194th
