id,bill_id,related_bill_id,identifier,legislative_session,relation_type
bb1f4138-e9f0-441a-b323-abeb2319a954,ocd-bill/d4b1261f-1bea-43fb-9b8b-bc590896891a,ocd-bill/9f174b3a-8186-4aa4-9e41-76c01115deec,HD 4945,194th,replaces
20489302-c810-45fe-8d51-c98faf60b5b7,ocd-bill/ef946b79-7b2e-4366-85ef-41ccbe9c613d,ocd-bill/b65ce8ac-4e58-4fdb-a7fd-a7b825c900bc,HD 4876,194th,replaces
30ede1e4-53a2-41dc-8f45-d449e2fd7825,ocd-bill/8f6dab2d-e273-4ffd-ae39-43eb6a525790,ocd-bill/38f75ad6-a471-4ad7-bb7e-c7a6be7a3908,HD 4957,194th,replaces
bec84acf-f26d-4c06-9e82-d206f36d38b3,ocd-bill/ecd0ac47-9db2-4d4a-9eeb-5303689af40a,ocd-bill/b3e650a7-c3fa-4266-9224-b68d535af4f8,HD 4954,194th,replaces
7b9dab2f-3608-40fc-a542-42767e2255f3,ocd-bill/cbe9633a-5fb1-48eb-9016-6ef4b5bb222a,ocd-bill/18ce9476-cd8d-4f8c-a4a2-82accbfc9a44,HD 4668,194th,replaces
9de31239-f3f8-47f4-963d-f4c1085abfe8,ocd-bill/df4e43ee-d295-43b7-b7ad-bfb11d6e953e,,SD 3319,194th,replaces
2a1d078f-1390-405f-9f37-e1aa8ff3db4d,ocd-bill/7643696a-2425-4053-a169-3d24a4c13704,ocd-bill/bcb5bdc3-0bf2-44cb-a9ae-21ec3ead4408,HD 5164,194th,replaces
4f72761b-2236-4dc0-a2ed-e070fd0b2871,ocd-bill/ebc5e5ef-4dd1-4ed8-8dd3-da2f1638aa2b,,HD 4990,194th,replaces
a6f90e22-3bad-458f-88de-76a08cbe17f6,ocd-bill/cc4fc38a-05c9-4a73-af1b-075879e4b8eb,ocd-bill/dfb3a347-7b15-4b78-a77f-b74bd0b6112d,HD 4908,194th,replaces
f8f31445-5a7e-4185-ae5f-11291886b68b,ocd-bill/e495d556-a8ec-498b-bafd-79185998f77b,ocd-bill/93c1b687-cd44-4868-b039-bca8b3d92ab1,HD 4972,194th,replaces
bdc6f7c0-c10e-4b4a-b288-6331bb7cd4a9,ocd-bill/57304fcf-8df8-4421-ad12-b277d2e03bf0,ocd-bill/ebaa23e2-3ce1-4105-96eb-a29ec3214c5f,HD 4985,194th,replaces
c832a473-e444-4e09-a66a-9f980a79cdab,ocd-bill/d2d30b5b-fe02-4d00-bf06-c85cae82e6f4,ocd-bill/1d31f4cb-9593-45d6-be0e-96aa7bfa9eda,HD 4970,194th,replaces
3eceacf1-537a-482d-b8d5-0fc446d69a16,ocd-bill/5a0c646c-ffae-4ab5-a4c6-dda9d27f2cd2,ocd-bill/f3da9ace-8e37-49ba-bf02-9d6edf5d1ad6,HD 4981,194th,replaces
