id,bill_id,identifier
150420db-623f-4417-b36e-8f356c22a569,ocd-bill/bac2146a-8769-4d74-bd6c-8042994cbf6e,ocd-bill-ma-194th-hd4334
e4fe83a7-e3ca-44db-8bf0-71b2e439b7eb,ocd-bill/0d6de310-f43e-4a48-8107-f38282999095,ocd-bill-ma-194th-sd2819
4fdc2980-48ef-4565-8e32-423d2da143a0,ocd-bill/acbb5390-fc6b-4e95-8c46-4bacc013bab7,ocd-bill-ma-194th-sd2863
bd5aa06d-f51e-48af-95ab-0a2ad9960b72,ocd-bill/beec3685-e6e9-453d-8c02-a047a76f7bcc,ocd-bill-ma-194th-sd2741
d27e9975-22c1-4293-b74e-b1118f4c0c4f,ocd-bill/0ab0c020-0e8b-4ecd-9f61-5eabb258ed40,ocd-bill-ma-194th-hd4526
da38cca4-4b9b-4735-ade1-3288f068b77e,ocd-bill/6d7baffe-311c-4724-b309-9364831bd6d1,ocd-bill-ma-194th-sd3001
d5c15485-7bf1-42a1-b5a6-6973c2364d7c,ocd-bill/9fa8d48d-1d1e-48ae-9c16-55bcf0abdf3c,ocd-bill-ma-194th-s2541
5e928e97-36c7-4e24-96f5-38277c7c5aae,ocd-bill/110afc32-649c-4b08-8164-37d1d6c88d49,ocd-bill-ma-194th-hd4395
0c30e847-45fd-4e08-bd93-22634c368f32,ocd-bill/04a27d22-301a-471b-9b30-52a73b3752a1,ocd-bill-ma-194th-sd2950
7b4628f0-1741-47d6-ad6c-2474cf22acdc,ocd-bill/ece2b4ab-7a62-4dcc-bc36-d4cf3848ca30,ocd-bill-ma-194th-sd2903
e229b353-e058-4c48-875e-e7c2b6b2012a,ocd-bill/07855938-4a81-494b-b8dc-0ebb2fdd6fad,ocd-bill-ma-194th-hd4464
2bd61d70-4ece-4b42-8e00-171ef2849234,ocd-bill/46bda364-880c-4280-a001-6d5801a7f4ac,ocd-bill-ma-194th-hd4545
