id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/1b915c2d-f5e8-4358-8b6f-981b2bdff916,HD 3583,An Act to support tourism in the Commonwealth ,['bill'],[],191st,Massachusetts,lower
ocd-bill/d04c85fb-8cf3-4462-92cd-aefc5ac8ff83,HD 2658,An Act relative to single-family home construction,['bill'],[],191st,Massachusetts,lower
ocd-bill/9c1ca7c0-c645-4ff9-9f82-a833ccb9eee0,HD 669,An Act concerning feminine hygiene products in schools,['bill'],[],191st,Massachusetts,lower
ocd-bill/87851e1c-9dde-4cae-b2da-fd173f2a16ad,HD 759,An Act in aid of libraries,['bill'],[],191st,Massachusetts,lower
ocd-bill/010c405b-9145-4a48-8fdb-2ef0119401d4,H 4856,Amendment H.4856,['bill'],[],191st,Massachusetts,lower
ocd-bill/d94c7643-569c-4e00-b398-29360cc29c88,H 4400,Extension Order H.4400,['bill'],[],191st,Massachusetts,lower
ocd-bill/05af12cd-adf7-4a14-8097-4de9d5d51d7c,H 4832,An Act regarding a parcel of land in Holyoke,['bill'],[],191st,Massachusetts,lower
ocd-bill/a5051082-cf7b-4842-a4e2-c5ef3f7ac4aa,S 2821,"Order relative to granting the committee on Mental Health, Substance Use and Recovery until July 29, 2020, within which time to make its final report on current Senate documents numbered 1144, 1145, 1152, 1153, 1154 and 1160",['bill'],[],191st,Massachusetts,upper
ocd-bill/64632204-3e96-47b1-95e8-aa05eaf55d46,HD 5186,An Act authorizing the commissioner of Capital Asset Management and Maintenance to convey a certain parcel of land in the city of Northampton,['bill'],[],191st,Massachusetts,lower
ocd-bill/1aad9d2b-ae14-4d67-ac0c-eac3c9890f77,HD 5187,An Act providing for the expungement of racially restrictive covenants in recorded real property documents,['bill'],[],191st,Massachusetts,lower
ocd-bill/1e01e86a-c6ff-41e5-80dd-02f59f30eee0,H 4665,"An Act establishing a sick leave bank for Dyana Gonzalez, an employee of the Division of Capital Asset Management and Maintenance",['bill'],[],191st,Massachusetts,lower
ocd-bill/855c0afc-579e-4ce8-984f-b35154c05ceb,H 4399,An Act authorizing the town of Nantucket to supply itself and its inhabitants with water,['bill'],[],191st,Massachusetts,lower
ocd-bill/881a59a8-70cc-4d8d-baca-54bddbab0934,H 4857,"An Act establishing a sick leave bank for Greta Long, an employee of the Massachusetts Rehabilitation Commission",['bill'],[],191st,Massachusetts,lower
