id,bill_id,abstract,note
4e56def3-4217-4aaa-896c-8222e1f883c8,ocd-bill/52ff6cab-9927-4029-928d-babb3066c772,"By Mr. Livingstone of Boston, a petition (accompanied by bill, House, No. 1958) of Jay D. Livingstone and others that Department of Public Health rules and regulations include imposition of local surcharges on commercial parking spaces.  Public Health.",summary
14edb099-8e48-43ad-ba8d-fb23dcb747ad,ocd-bill/576c0e6e-86dc-45ea-a5ce-a0577c3b763c,Report of the Department of Transitional Assistance (pursuant to Section 2(B)(r) of Chapter 18 of the General Laws) submitting its annual report detailing eligible noncitizens receiving Transitional Aid to Families with Dependent Children (TAFDC),summary
caccaaea-43f6-467b-bb47-6aeb49cd0f49,ocd-bill/26ea99a5-277a-49e8-9dc9-a5b7048f8101,"By Mr. González of Springfield, a petition (accompanied by bill, House, No. 373) of Carlos González and others relative to sports wagering.  Economic Development and Emerging Technologies.",summary
0dfa3c0c-7ccd-483c-9c14-e84a4f608d44,ocd-bill/4ae1341b-616f-4f62-9856-e243a429e902,"Senate, March 12, 2020 -- Substituted by amendment by the Senate (Senator DiZoglio) as a new draft for Senate, No. 1179.",summary
adeaba7c-0232-44f0-b9dd-8b49a429420c,ocd-bill/670c30a1-a892-4170-a62d-92e96ad1066c,"By Mr. Ryan of Boston, a petition (accompanied by bill, House, No. 3126) of Daniel J. Ryan and Timothy R. Whelan relative to the regulation of mobile carrying devices operated on sidewalks and crosswalks and intended primarily for transporting personal property.  Transportation.",summary
e98d62ee-98ad-4498-bf7d-14bfe98d4126,ocd-bill/90b0444f-5dbe-4344-9460-22c94afebd26,"By Representative Hill of Ipswich and Senator Lovely, a joint petition (subject to Joint Rule 12) of Bradford Hill and Joan B. Lovely for legislation to establish a sick leave bank for Maria Boverini, an employee of the Trial Court.  The Judiciary.",summary
026e1277-abbd-4860-9e8b-57d8c4fd9639,ocd-bill/3b9efc53-01f0-47d6-9225-239dd78ca2a8,"Senate, Thursday, March 12, 2020 -- The committee on Ways and Means to whom was referred the House Bill relative to strengthening the local and regional public health system (House, No. 4503),-- reports, recommending that the same ought to pass with an amendment striking out all after the enacting clause and inserting in place thereof the text of Senate document numbered 2594 (also based on Senate, No. 1294).",summary
cfa165d7-0c40-4f84-8e1f-df9305eb8ca0,ocd-bill/69a347bd-eb39-4af4-88e2-992f5129924c,Report of the Department of Transitional Assistance (pursuant to Section 2(B)(r) of Chapter 18 of the General Laws) submitting its annual report detailing eligible noncitizens receiving Transitional Aid to Families with Dependent Children (TAFDC),summary
ec62c5b7-8312-43d2-99ef-f03d7d3766e5,ocd-bill/aa0645da-4462-4f80-a4ef-0ce167cb6751,"By Ms. Comerford, a petition (accompanied by bill, Senate, No. 2814) (subject to Joint Rule 12) of Joanne M. Comerford, Jack Patrick Lewis, Maria Duaime Robinson, Carmine Lawrence Gentile and other members of the General Court for legislation to respond to the COVID-19 emergency by instituting a moratorium of the Massachusetts Comprehensive Assessment System.  Education.",summary
47ab6055-6874-44b2-8549-759f1bdf5c26,ocd-bill/d11e9cec-53b8-411f-a563-c80ce189af44,"By Mr. Lombardo of Billerica, a petition (accompanied by bill, House, No. 4847) of Marc T. Lombardo (by vote of the town) that the town of Billerica be authorized to change the name of the board of selectmen in said town to the select board.  Municipalities and Regional Government.  [Local Approval Received.]",summary
