id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/edee512c-09fa-4b45-9a55-3bf630a12920,SD 495,An Act relative to personal delivery devices,['bill'],[],192nd,Massachusetts,upper
ocd-bill/dcb16f63-b099-462b-8dea-5095bcc2cf1d,HD 1052,An Act to expand the Massachusetts School Building Authority and create a new program to assist public school districts with 21st century technology upgrades,['bill'],[],192nd,Massachusetts,lower
ocd-bill/ac903619-0271-45fd-95c1-fed215230896,HD 1087,An Act providing mortgage customers additional mandatory information regarding their accounts,['bill'],[],192nd,Massachusetts,lower
ocd-bill/c09f0887-ba04-4d60-842b-daae4e8ed3f2,HD 1054,An Act relative to the Division of Waterways to dredge Quincy Bay,['bill'],[],192nd,Massachusetts,lower
ocd-bill/aaebda7c-1595-4e93-950f-04e796e3677b,HD 1154,An Act relative to electric vehicle charging stations,['bill'],[],192nd,Massachusetts,lower
ocd-bill/811e2ec1-0b1d-4580-bdac-650b90371438,HD 1067,An Act relative to patient care access,['bill'],[],192nd,Massachusetts,lower
ocd-bill/2352be7e-cbdc-41f0-ad8e-2e57e63736af,HD 1090,An Act creating a scholarship fund to increase the number of medical providers who are knowledgeable in autism,['bill'],[],192nd,Massachusetts,lower
ocd-bill/27d6bd02-e74e-491d-b860-b700fd35ec4a,SD 503,An Act relative to LSDs (Lysosomal Storage Disorders) in infants,['bill'],[],192nd,Massachusetts,upper
ocd-bill/617c5a5f-9df4-4a57-805c-5555a59fcc57,SD 2555,Comptroller FY20 Comprehensive Annual Financial Report,['bill'],[],192nd,Massachusetts,upper
ocd-bill/8ae446d2-55e7-41af-92a2-cae3e105bea3,HD 4123,An Act regarding DNA exception rule for victims of rape,['bill'],[],192nd,Massachusetts,lower
ocd-bill/9a704d87-3a82-48b7-9a70-4436f802bfc4,HD 4122,"An Act establishing a sick leave bank for Racquel Cardoza, an employee of the Department of Transitional Assistance",['bill'],[],192nd,Massachusetts,lower
ocd-bill/e7e7a3a3-f9b5-41dc-996a-163849582140,HD 5037,An Act authorizing the town of Harvard to establish and enforce speed limits on certain public ways in the town,['bill'],[],192nd,Massachusetts,lower
ocd-bill/1da9c72e-ee9e-474a-90ce-6bbc1bc7d27e,SD 3117,PFAS Interagency Task Force Final Report,['bill'],[],192nd,Massachusetts,upper
ocd-bill/f3d23d37-638c-4dcf-b068-fa65d5ec95d6,SD 3041,JJPAD Board 2021 Annual Report,['bill'],[],192nd,Massachusetts,upper
ocd-bill/1c512698-91ff-4ca6-941d-b7e8492c3cf5,HD 5130,"The final report of the Special Commission on Racial Inequities on Maternal Health established (under Chapter 348 of the Acts of 2020 and reporting date extended by Section 68 of Chapter 42 of the Acts of 2022) to investigate and study methods to reduce racial inequities in maternal health [copies of the report were forwarded to the Secretary of the Executive Office of Health and Human Services, the committee on Ways and Means, the committee on Health Care Financing and the committee on Public Health, as required by said law]",['bill'],[],192nd,Massachusetts,lower
ocd-bill/f2288499-461b-4754-ac9c-8d3c43893ec5,HD 5502,An Act granting creditable service to Robin Blatt an employee of the Department of Public Health,['bill'],[],192nd,Massachusetts,lower
ocd-bill/0783889d-1435-4b59-a0cb-0c6e57c9cc76,HD 5508,A report of the Executive Office of Public Safety and Security (under Section 11 of Chapter 69 of the Acts of 2018) submitting its fiscal year 2022 Sexual Assault Evidence Collection Kit (SAECK) annual summary report,['bill'],[],192nd,Massachusetts,lower
ocd-bill/ab537c78-d96c-43cc-902f-e382b288eb25,H 4886,An Act to prohibit landlords and brokers from requiring broker's commissions to be paid by a tenant or prospective tenant,['bill'],[],192nd,Massachusetts,lower
ocd-bill/a37f7586-a903-4bb8-bcc6-e2e376c3db68,HD 5501,An Act authorizing the Westborough Board of Assessors to approve additional tax exemptions of qualifying senior residents,['bill'],[],192nd,Massachusetts,lower
ocd-bill/72ca81c9-b848-4f49-896a-c4eb0e5f1f24,HD 5504,"A report of the Office of the State Auditor (under Section 17 (8) of Chapter 11 of the General Laws) submitting the annual report of the Bureau of Special Investigations from July 1, 2021 to June 30, 2022",['bill'],[],192nd,Massachusetts,lower
ocd-bill/9cdf8a3d-5a66-4d3e-bbb7-9d96f089601b,HD 5505,"A communication from the Secretary of Health and Human Services and the Secretary of Administration and Finance (see Section 83 of Chapter 144 of the Acts of 2022) submitting a plan for the efficient transfer of the Department of Veterans' Services, including the Soldiers' Home in Massachusetts and the Soldiers' Home in Holyoke, from the Executive Office of Health and Human Services to a department operating under the Secretary of Veterans' Services",['bill'],[],192nd,Massachusetts,lower
ocd-bill/63428c77-af62-4908-a54b-62f6784bc85e,H 5366,Extension Order H.5366,['bill'],[],192nd,Massachusetts,lower
ocd-bill/3562d8e2-0437-47e1-8dbf-0e68acef94b9,HD 4385,"A report of the Special Commission to Study Civil Asset Forfeiture Policies and Practices in the Commonwealth (under Section 90 of Chapter 41 of the Acts of 2019, as amended by Section 64 of Chapter 227 of the Acts of 2020) submitting a final report of its findings and recommendations",['bill'],[],192nd,Massachusetts,lower
ocd-bill/dff22af4-5e0d-49ef-939d-51f342096ebb,H 5124,An Act relative to cost-of-living adjustments for retirees,['bill'],[],192nd,Massachusetts,lower
ocd-bill/826d9151-3016-4ea1-9cb7-c6f7f61eebeb,HD 5495,"Communication from the Nantucket Regional Transit Authority (see Section 8(g) of Chapter 161B of the General Laws) submitting its annual report for the fiscal year ending June 30, 2022",['bill'],[],192nd,Massachusetts,lower
ocd-bill/389f2f13-6f42-4768-902a-951ead9aaa86,H 5373,An Act allowing the appointment of retired Wilbraham Police Officers as Special Police Officers,['bill'],[],192nd,Massachusetts,lower
ocd-bill/aa2a0f90-8a22-4550-8e84-3c1cedecf8bc,HD 5507,A communication from the Office of the Child Advocate (see Section 89 of Chapter 119 of the General Laws) submitting a report of the Juvenile Justice Policy and Data (JJPAD) Board entitled:  Racial and Ethnic Disparities at the Front Door of Massachusetts’ Juvenile Justice System: Understanding the Factors Leading to Overrepresentation of Black and Latino Youth Entering the System,['bill'],[],192nd,Massachusetts,lower
ocd-bill/3793d80a-a492-453a-900f-1a1d22d594c4,HD 5492,"Annual report of the Department of Youth Services (under Section 16 of Chapter 123A of the General Laws) describing the treatment offered to persons civilly committed as being sexually dangerous [copies of the communication were forwarded to the committees on Ways and Means and the Judiciary, as required by said law]",['bill'],[],192nd,Massachusetts,lower
ocd-bill/483b5fd8-5cdd-4b21-9d0a-84e1dbf5ae73,H 5318,"An Act  Communication from the Division of Energy Resources of the Executive Office of Energy and Environmental Affairs (under the provisions of section 12 of Chapter 25A of the General Laws) submitting amendments to 225 CMR 22.00 and 23.00, Stretch Energy Code Regulations.",['bill'],[],192nd,Massachusetts,lower
ocd-bill/f178575e-fef4-4a30-a05d-b6709d14f943,H 97,"An Act establishing a sick leave bank for Peter J. Fallon, an employee of the Massachusetts Department of Transportation",['bill'],[],192nd,Massachusetts,lower
