id,bill_id,abstract,note
d33f2875-fe41-4e42-9bad-74a71f36e09e,ocd-bill/91f5ddf1-4972-4fdf-9045-edc5174fc96d,"By Mrs. Harrington of Groton, a petition (accompanied by bill, House, No. 3063) of Sheila C. Harrington, Steven S. Howitt and Jennifer L. Flanagan relative to spousal support payments.  The Judiciary.  ",summary
0b435eef-b7f7-476e-b947-974c1d84e19a,ocd-bill/c75474db-b46a-4b02-b5e4-5027f488869a,Report of MassBiologics (pursuant to Section 43(f) of Chapter 75 of the General Laws) submitting its annual report of the activities of MassBiologics for fiscal year 2018.    ,summary
9f72ea57-da73-447f-8de1-d87d39ae8626,ocd-bill/999731cf-0733-4664-82f5-8b047503ed93,"By Mr. Rushing of Boston, a petition (accompanied by bill, House, No. 2506) of Byron Rushing and others relative to the collection and transmission of certain traffic and pedestrian stop data.  Public Safety and Homeland Security.  ",summary
eea9eadf-e430-4a4e-8bf3-4f3a6fc5448f,ocd-bill/54cfd03f-e9a4-460b-bd04-495b76d8192d,"House bill No. 4738, as changed by the committee on Bills in the Third Reading, and as amended and passed to be engrossed by the House.  July 12, 2018.",summary
f3270bf5-7cc6-4dc0-b204-d8e05340bf37,ocd-bill/9fef9dd4-116e-48b0-b407-5c8206ddde56,"By Mr. Moore, a petition (accompanied by bill, Senate, No. 2629) of Michael O. Moore and Hannah Kane (with approval of the mayor and city council) for legislation to authorize the city of Worcester to convey a certain parcel of land.  Municipalities and Regional Government.  [Local Approval Received.]",summary
655fd157-9f17-4ad5-9489-60494eaa0c0a,ocd-bill/a29c183e-cfef-48b9-a8ee-8e44785b21f1,"By Mr. Rogers of Norwood, a petition (accompanied by bill, House, No. 3591) of John H. Rogers and others relative to police use of epinephrine autoinjectors.  The Judiciary.  ",summary
cb4e5728-c36f-46ce-a228-f39c94bcff8c,ocd-bill/27f32dc8-b382-40ed-8f6a-3c8f8ee02f69,"By Mrs. Ferguson of Holden, a petition (accompanied by bill, House, No. 2277) of Kimberly N. Ferguson and others relative to service animals and penalties for misrepresentation.  The Judiciary.  ",summary
b5f8972b-bc9b-45fd-907a-87c4335ef4eb,ocd-bill/bc8e27ae-a584-4205-977e-631b5ff7e6de,"By Mr. Hill of Ipswich, a petition (accompanied by bill, House, No. 1751) of Bradford R. Hill that the Commissioner of the Department of Energy Resources establish a program providing rebates to consumers who purchase or lease qualifying plug-in electric vehicles.  Telecommunications, Utilities and Energy.  ",summary
d05a274d-4736-4bfd-bf06-8dd7cb580bde,ocd-bill/a7d734dd-0653-4bee-b0dc-8c4a01b3a6fd,"SENATE, July 16, 2018 - The committee on Ways and Means to whom was referred the Senate Bill to establish a registry of caretakers found to have substantiated abuse against persons with intellectual disability or developmental disability (Senate, No. 2213),-- reports, recommending that the same ought to pass with an amendment substituting a new draft with the same title (Senate, No. 2606).",summary
bc408074-eb60-4ac4-bdec-fcabfa6680a4,ocd-bill/75f23c91-9a7f-4390-a31e-47209872bd4b,"By Ms. Gifford of Wareham, a petition (accompanied by bill, House, No. 2241) of Susan Williams Gifford and others relative to the definition of low and moderate income housing.  Housing.  ",summary
5d8ac214-58d7-44c8-8dba-a1623d88891b,ocd-bill/69f9aede-0d2c-4404-aae4-410e69fc2b0c,"By Mr. Tarr, a petition (accompanied by bill) (subject to Joint Rule 12) of Bruce E. Tarr and Joan B. Lovely for legislation relative to Essex Sports Center public accountability.  State Administration and Regulatory Oversight.",summary
22c9593c-788e-4146-bb20-685fb6596c5c,ocd-bill/c35b6a7e-ab5e-44e3-a00a-d0699e1f5034,"SENATE, Thursday, July 12, 2018 - The committee on Rules, to whom was referred the petitions (accompanied by bill, Senate, No. 905) of Mark C. Montigny, Patricia A. Haddad, Sal N. DiDomenico, Richard J. Ross and other members of the General Court for legislation to strengthen laws combatting human trafficking and protecting survivors of modern-day slavery; and (accompanied by bill, Senate, No. 906) Mark C. Montigny, Patricia A. Haddad, Sal N. DiDomenico, James M. Cantwell and other members of the General Court for legislation to enhance the lives of survivors of human trafficking,- reports the accompanying bill (Senate, No. 2598).
",summary
