id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/f8fe83f0-2f49-463a-b8cc-77655355bbaa,H 2941,An Act relative to failed septic systems,['bill'],[],190th,Massachusetts,lower
ocd-bill/b593c86b-2e01-48d4-b804-d8c2f007cc87,H 4737,An Act relative to expanding resource efficiency in the Commonwealth,['bill'],[],190th,Massachusetts,lower
ocd-bill/9e11da2e-82be-4110-9578-3932691b333f,H 4714,An Act relative to economic development in the commonwealth,['bill'],[],190th,Massachusetts,lower
ocd-bill/c75474db-b46a-4b02-b5e4-5027f488869a,SD 2813,Activities of MassBiologics for FY18,['bill'],[],190th,Massachusetts,upper
ocd-bill/9fef9dd4-116e-48b0-b407-5c8206ddde56,S 2629,An Act authorizing the city of Worcester to convey a certain parcel of land,['bill'],[],190th,Massachusetts,upper
ocd-bill/54cfd03f-e9a4-460b-bd04-495b76d8192d,H 4756,An Act to increase renewable energy and reduce high-cost peak hours,['bill'],[],190th,Massachusetts,lower
ocd-bill/69f9aede-0d2c-4404-aae4-410e69fc2b0c,SD 2726,An Act relative to Essex Sports Center public accountability,['bill'],[],190th,Massachusetts,upper
ocd-bill/999731cf-0733-4664-82f5-8b047503ed93,H 2506,An Act relative to traffic and pedestrian stop data,['bill'],[],190th,Massachusetts,lower
ocd-bill/e0204d2f-3d8a-4036-a977-23863ed83225,H 4738,An Act to increase renewable energy and reduce high-cost peak hours,['bill'],[],190th,Massachusetts,lower
ocd-bill/a29c183e-cfef-48b9-a8ee-8e44785b21f1,H 3591,An Act relative to police use of epinephrine autoinjectors,['bill'],[],190th,Massachusetts,lower
ocd-bill/27f32dc8-b382-40ed-8f6a-3c8f8ee02f69,H 2277,An Act relative to the misrepresentation of a service animal,['bill'],[],190th,Massachusetts,lower
ocd-bill/bc8e27ae-a584-4205-977e-631b5ff7e6de,H 1751,An Act codifying the electric vehicle consumer rebate program,['bill'],[],190th,Massachusetts,lower
ocd-bill/75f23c91-9a7f-4390-a31e-47209872bd4b,H 2241,An Act relative to the definition of low and moderate income housing,['bill'],[],190th,Massachusetts,lower
ocd-bill/a7d734dd-0653-4bee-b0dc-8c4a01b3a6fd,S 2606,An Act to establish a registry of caretakers found to have substantiated abuse against persons with intellectual disability or developmental disability,['bill'],[],190th,Massachusetts,upper
ocd-bill/f7f630f6-ff02-43b7-8f79-0005a2e1c9cb,S 2615,An Act making technical changes to the laws regulating a certain notarial act,['bill'],[],190th,Massachusetts,upper
ocd-bill/686cdfb8-fc43-4524-bed6-8ed9c113c83e,H 4712,An Act relative to the membership of the Millbury Redevelopment Authority,['bill'],[],190th,Massachusetts,lower
ocd-bill/d148731d-3f70-4da1-8d83-8be11aa142db,H 4763,An Act  relative to the health insurance and other benefits in the town of East Brookfield,['bill'],[],190th,Massachusetts,lower
ocd-bill/c35b6a7e-ab5e-44e3-a00a-d0699e1f5034,S 2598,An Act to strengthen laws combatting human trafficking and protecting survivors of modern-day slavery,['bill'],[],190th,Massachusetts,upper
ocd-bill/da59740f-80db-477b-b5ed-8ae5a67279de,H 511,An Act relative to automobile insurance premiums,['bill'],[],190th,Massachusetts,lower
ocd-bill/9b751046-1b5e-471a-b2ff-31f0b126f843,H 2375,An Act relative to the development of certain land in the town of Orleans,['bill'],[],190th,Massachusetts,lower
ocd-bill/73ce9a54-b8c6-4652-be15-744eec7da7c3,H 4725,An Act for prevention and access to appropriate care and treatment of addiction,['bill'],[],190th,Massachusetts,lower
ocd-bill/52acfa9d-7f09-471e-b8fe-fb71752df107,S 2631,An Act to promote and enhance civic engagement,['bill'],[],190th,Massachusetts,upper
