id,bill_id,related_bill_id,identifier,legislative_session,relation_type
e497064e-db10-4065-a549-1029e9f3c39c,ocd-bill/32690a4a-4f5e-4b7b-a05d-87ebfe30c895,,SD 3205,193rd,replaces
c35168bf-20ff-4199-a992-2a51a35e3071,ocd-bill/842bedcb-dd9e-4349-814d-e06329f07da4,ocd-bill/f1e7d3c6-c749-4a4b-b5ea-2d66955e624f,HD 5003,193rd,replaces
b268931a-7034-44e9-8c93-d33250502fb1,ocd-bill/251b8c46-d893-4b11-b71c-c1e315033394,ocd-bill/4efdccd0-0e3d-4fc8-afa5-7aac66d13d97,HD 5042,193rd,replaces
dc9a940f-8f23-4b3c-8b8d-00ed5c363d41,ocd-bill/bc6c5e5c-cab9-4903-9d62-ce320a6f437a,,SD 3436,193rd,replaces
fadee7a4-c18e-4c1d-8581-50113196a28c,ocd-bill/3e59b631-2d3d-45a8-ad56-fb2012179977,ocd-bill/6eb0b36a-a88c-41b6-b7e1-8a2de5eccba0,HD 5382,193rd,replaces
5896713e-6341-4a70-9383-2d63ac4ee359,ocd-bill/17bdae78-4521-44fc-9833-d39bba8d8203,ocd-bill/1b54e5bb-2c91-4e95-b1ef-076b671962eb,HD 5285,193rd,replaces
2b76ed23-d860-45c8-969d-047ba3e64094,ocd-bill/3862c776-00e4-41db-94bb-41e33e7edb23,ocd-bill/fecfa650-5cee-49cd-ad12-e1d0280d68ab,HD 5286,193rd,replaces
1ac2b87f-51ab-442f-86db-310e1ac6cb98,ocd-bill/78ed321b-4922-4a36-b3f9-60c81c94dd42,,HD 5070,193rd,replaces
e6f98ae0-e3b6-4566-8635-97915ad71344,ocd-bill/5d9afa9a-b35b-4959-ad3f-da56f61aaba1,ocd-bill/d0ca3056-3974-4b10-b919-89b9185f3742,HD 4737,193rd,replaces
2cf777dd-b9c7-4575-9881-89c94ce833f5,ocd-bill/4084749e-7ee2-4a1b-87a3-2a41331c3734,ocd-bill/6d38beb2-18b2-4c93-acfb-5f90f8348b46,SD 2960,193rd,replaces
14387bd4-0cac-44c7-9bec-dc482396f437,ocd-bill/cae1985f-6d78-4eea-a612-f2f580b48afb,,SD 3288,193rd,replaces
1100bd31-9331-403d-a7e1-bf789c0f4922,ocd-bill/57cbd541-2cae-4492-8865-4d5005758f40,ocd-bill/357026fb-ff07-467b-a2ad-82b3a1aadc4f,HD 5158,193rd,replaces
b22a4529-f378-4013-bc40-5a3649ab91a8,ocd-bill/cbe7d723-b6a6-417e-b683-ba67a36c8264,,HD 5087,193rd,replaces
20184027-70b0-45a8-bc30-1beff7ea5656,ocd-bill/0cc19441-4374-47ef-9c35-06f8228da872,,HD 5088,193rd,replaces
0a2f3f1b-ae43-428a-83e3-cbdf4654d49b,ocd-bill/07907b9b-49c9-44c4-a951-c03e4a57dd19,,HD 5290,193rd,replaces
fed8959a-95ff-468c-9041-50c51c12ccc6,ocd-bill/b405b208-c548-4017-802b-f429c643cffb,,HD 5291,193rd,replaces
c01b6086-c974-4cb2-abbe-bbd3bfab086f,ocd-bill/57086f97-fe08-47df-bbf4-c2782c82cadb,,HD 5292,193rd,replaces
19b424cb-8e96-466a-8eaa-0518a2c3c3cb,ocd-bill/bdbd9d66-dd54-49c4-b8ee-0e50140caeee,,HD 5294,193rd,replaces
dd27b853-c4fb-41e1-800f-540fe4c469ee,ocd-bill/50717166-e6f3-486d-840f-06b842c2a586,,HD 5293,193rd,replaces
